DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Weapon Desc,LAT,LON,Closest Restaurant,Restaurant Address
10/13/2017,1800,Wilshire,BURGLARY,UNKNOWN WEAPON/OTHER WEAPON,34.0816,-118.3311,,
10/29/2017,300,Foothill,ROBBERY,OTHER KNIFE,34.2455,-118.4177,,
10/30/2017,545,Central,BRANDISH WEAPON,PIPE/METAL PIPE,34.0401,-118.2668,,
10/11/2017,2030,Southeast,THEFT,,33.9339,-118.2739,,
10/1/2017,1245,Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT,34.0579,-118.2711,,
10/13/2017,1100,Pacific,STALKING,,33.981,-118.4332,,
10/24/2017,1500,Hollenbeck,VANDALISM,,34.0638,-118.1785,,
10/10/2017,1300,Pacific,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT,33.9432,-118.4013,,
10/2/2017,1520,West Valley,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1975,-118.5273,,
10/8/2017,1209,West LA,SHOPLIFTING,,34.0626,-118.4462,,
10/11/2017,1700,Devonshire,VEHICLE,,34.2594,-118.4816,,
10/22/2017,1405,Topanga,THEFT,,34.1634,-118.5987,,
10/5/2017,1740,Southwest,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0328,-118.323,,
10/23/2017,1700,Central,THEFT,,34.046,-118.2509,,
10/24/2017,700,77th Street,BURGLARY,,33.9646,-118.3025,,
10/21/2017,1000,Olympic,VEHICLE,,34.0509,-118.2968,,
10/29/2017,1530,Rampart,ASSAULT,STICK,34.045,-118.2818,,
10/28/2017,2200,Hollenbeck,RAPE,HAND GUN,34.0851,-118.1644,,
10/24/2017,2030,Newton,BURGLARY,,33.9947,-118.2411,,
10/23/2017,600,Southwest,THEFT,,34.0073,-118.3193,,
10/26/2017,945,Wilshire,SHOPLIFTING,,34.0485,-118.3335,,
10/24/2017,1100,Pacific,BURGLARY,,33.9723,-118.3723,,
10/18/2017,1800,Foothill,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2754,-118.3904,,
10/17/2017,2300,Central,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.051,-118.2445,,
10/1/2017,705,Northeast,BIKE - STOLEN,,34.1064,-118.2022,,
10/5/2017,1840,Van Nuys,SHOPLIFTING,,34.153,-118.4487,,
10/4/2017,1933,Southwest,THEFT,,34.0197,-118.2882,,
10/23/2017,400,Harbor,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.7351,-118.2857,,
10/14/2017,1600,Southwest,BURGLARY,,34.0073,-118.3108,,
10/19/2017,1030,Southwest,BURGLARY,,34.0219,-118.2959,,
10/1/2017,1200,Van Nuys,CONTRIBUTING,,34.1976,-118.4324,,
10/14/2017,1150,West Valley,DOCUMENT FORGERY / STOLEN FELONY,,34.2012,-118.4837,,
10/24/2017,2305,Northeast,FAILURE TO YIELD,,34.1207,-118.2026,,
10/30/2017,420,Van Nuys,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2012,-118.464,,
10/12/2017,205,Olympic,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0617,-118.3116,,
10/9/2017,1200,Southwest,VEHICLE,,34.0019,-118.3192,,
10/27/2017,2100,Foothill,VANDALISM,,34.2085,-118.4052,,
10/20/2017,805,Hollywood,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0908,-118.3092,,
